store_code_uc,store_zip3,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,years_drink
89548,620,1,1,1,1,1,1,1,1,1,1,10
89631,400,0,0,0,1,1,1,1,1,1,1,7
89729,481,1,1,1,1,1,1,1,1,1,1,10
89951,604,1,1,1,1,1,1,1,1,1,1,10
89987,465,1,1,1,1,1,1,1,1,1,1,10
90105,851,1,1,1,1,1,1,1,1,1,1,10
90141,441,1,1,1,1,1,1,1,1,1,1,10
90390,956,1,1,1,1,1,1,1,1,1,1,10
90500,366,0,0,0,1,1,1,1,1,1,1,7
90535,446,1,1,1,1,1,1,1,1,1,1,10
90947,442,1,1,1,1,1,1,1,1,1,1,10
91160,537,1,1,1,1,1,1,1,1,1,1,10
91169,773,0,0,1,1,1,1,1,1,1,1,8
91310,210,1,1,1,1,1,1,1,1,1,1,10
91341,767,1,1,1,1,1,1,1,1,1,1,10
91563,515,1,1,1,1,1,1,1,1,1,1,10
91599,936,1,1,1,1,1,1,1,1,1,1,10
91712,956,1,1,1,1,1,1,1,1,1,1,10
91753,379,1,1,1,1,1,1,1,1,1,1,10
91772,223,0,0,1,1,1,1,1,1,1,1,8
91961,398,1,1,1,1,1,1,1,1,1,1,10
91966,601,1,1,1,1,1,1,1,1,1,1,10
92125,530,1,1,1,1,1,1,1,1,1,1,10
92156,336,1,1,1,1,1,1,1,1,1,1,10
92212,370,0,0,0,1,1,1,1,1,1,1,7
92238,305,1,1,1,1,1,1,1,1,1,1,10
92369,662,1,1,1,1,1,1,1,1,1,1,10
92518,956,1,1,1,1,1,1,1,1,1,1,10
92559,618,1,1,1,1,1,1,1,1,1,1,10
92641,87,1,1,1,1,1,1,1,1,1,1,10
92772,23,1,1,1,1,1,1,1,1,1,1,10
92962,275,1,1,1,1,1,1,1,1,1,1,10
92999,442,1,1,1,1,1,1,1,1,1,1,10
93175,641,1,1,1,1,1,1,1,1,1,1,10
93356,334,1,1,1,1,1,1,1,1,1,1,10
93578,641,1,1,1,1,1,1,1,1,1,1,10
93768,280,1,1,1,1,1,1,1,1,1,1,10
93981,973,1,1,1,1,1,1,1,1,1,1,10
94017,614,1,1,1,1,1,1,1,1,1,1,10
94127,600,0,0,0,1,1,1,1,1,1,1,7
94131,981,1,1,1,1,1,1,1,1,1,1,10
94171,301,1,1,1,1,1,1,1,1,1,1,10
94384,445,1,1,1,1,1,1,1,1,1,1,10
94574,300,1,1,1,1,1,1,1,1,1,1,10
94823,291,1,1,1,1,1,1,1,1,1,1,10
94968,212,1,1,1,1,1,1,1,1,1,1,10
95190,631,1,1,1,1,1,1,1,1,1,1,10
95588,398,1,1,1,1,1,1,1,1,1,1,10
95593,851,1,1,1,1,1,1,1,1,1,1,10
95752,40,1,1,1,1,1,1,1,1,1,1,10
95774,218,1,1,1,1,1,1,1,1,1,1,10
96349,752,1,1,1,1,1,1,1,1,1,1,10
96399,604,1,1,1,1,1,1,1,1,1,1,10
96589,239,1,1,1,1,1,1,1,1,1,1,10
97038,280,1,1,1,1,1,1,1,1,1,1,10
97205,612,1,1,1,1,1,1,1,1,1,1,10
97241,920,1,1,1,1,1,1,1,1,1,1,10
97644,146,1,1,1,1,1,1,1,1,1,1,10
97835,149,1,1,1,1,1,1,1,1,1,1,10
98011,322,1,1,1,1,1,1,1,1,1,1,10
98047,424,1,1,1,1,1,1,1,1,1,1,10
98450,923,1,1,1,1,1,1,1,1,1,1,10
98563,956,1,1,1,1,1,1,1,1,1,1,10
98595,791,1,1,1,1,1,1,1,1,1,1,10
98817,336,1,1,1,1,1,1,1,1,1,1,10
98831,346,1,1,1,1,1,1,1,1,1,1,10
98853,891,1,1,1,1,1,1,1,1,1,1,10
98963,605,0,0,0,1,1,1,1,1,1,1,7
98998,250,1,1,1,1,1,1,1,1,1,1,10
99102,983,0,1,1,1,1,1,1,1,1,1,9
99170,395,1,1,1,1,1,1,1,1,1,1,10
99401,88,1,1,1,1,1,1,1,1,1,1,10
99659,255,1,1,1,1,1,1,1,1,1,1,10
99686,303,1,1,1,1,1,1,1,1,1,1,10
100062,950,1,1,1,1,1,1,1,1,1,1,10
100714,985,0,1,1,1,1,1,1,1,1,1,9
100868,279,1,1,1,1,1,1,1,1,1,1,10
100909,774,1,1,1,1,1,1,1,1,1,1,10
101013,791,1,1,1,1,1,1,1,1,1,1,10
101117,970,0,1,1,1,1,1,1,1,1,1,9
101235,322,1,1,1,1,1,1,1,1,1,1,10
101267,851,1,1,1,1,1,1,1,1,1,1,10
101416,638,1,1,1,1,1,1,1,1,1,1,10
102041,402,1,1,1,1,1,1,1,1,1,1,10
102480,950,1,1,1,1,1,1,1,1,1,1,10
102847,329,1,1,1,1,1,1,1,1,1,1,10
103028,349,1,1,1,1,1,1,1,1,1,1,10
103250,601,1,1,1,1,1,1,1,1,1,1,10
103676,496,1,1,1,1,1,1,1,1,1,1,10
104056,326,1,1,1,1,1,1,1,1,1,1,10
104473,980,1,1,1,1,1,1,1,1,1,1,10
104533,232,0,0,0,0,1,1,1,1,1,1,6
105043,21,1,1,1,1,1,1,1,1,1,1,10
105347,906,1,1,1,1,1,1,1,1,1,1,10
105411,610,0,0,0,1,1,1,1,1,1,1,7
105990,280,1,1,1,1,1,1,1,1,1,1,10
106089,782,1,1,1,1,1,1,1,1,1,1,10
106107,377,1,1,1,1,1,1,1,1,1,1,10
106510,534,1,1,1,1,1,1,1,1,1,1,10
106578,295,1,1,1,1,1,1,1,1,1,1,10
106655,300,1,1,1,1,1,1,1,1,1,1,10
106778,197,1,1,1,1,1,1,1,1,1,1,10
106895,782,1,1,1,1,1,1,1,1,1,1,10
106913,565,1,1,1,1,1,1,1,1,1,1,10
107058,678,1,1,1,1,1,1,1,1,1,1,10
107316,550,1,1,1,1,1,1,1,1,1,1,10
107326,472,0,0,1,1,1,1,1,1,1,1,8
107701,782,1,1,1,1,1,1,1,1,1,1,10
107956,377,0,0,1,1,1,1,1,1,1,1,8
